"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2024","122,383.46","122,935.40","123,232.45","121,689.59","","-0.30%"
"08/20/2024","122,748.73","122,092.76","123,772.02","121,795.04","","0.59%"
"08/19/2024","122,029.67","122,485.24","122,585.07","121,258.80","","-0.38%"
"08/16/2024","122,496.26","120,204.03","122,733.59","119,842.09","","2.03%"
"08/15/2024","120,064.30","120,181.97","120,827.58","118,933.87","","0.02%"
"08/14/2024","120,044.97","121,726.40","122,574.99","119,711.48","","-1.29%"
"08/13/2024","121,612.74","121,967.39","122,175.07","121,204.06","","-0.06%"
"08/12/2024","121,686.06","119,712.80","121,992.06","119,374.02","","1.74%"
"08/09/2024","119,601.55","119,541.33","120,029.40","119,033.56","","0.15%"
"08/08/2024","119,420.59","117,401.70","119,568.99","117,296.88","","1.82%"
"08/07/2024","117,285.35","117,675.66","118,583.33","117,049.19","","-0.17%"
"08/06/2024","117,488.16","118,594.26","119,103.79","117,184.33","","-0.95%"
"08/05/2024","118,613.33","119,103.60","120,793.77","116,446.47","","-0.15%"
"08/02/2024","118,794.85","119,087.52","120,640.20","117,335.10","","-0.10%"
"08/01/2024","118,914.10","118,847.51","119,894.03","118,292.19","","0.20%"
"07/31/2024","118,682.40","116,774.23","119,020.60","116,443.15","","1.84%"
"07/30/2024","116,536.67","115,195.13","116,885.73","114,833.21","","1.27%"
"07/29/2024","115,071.34","115,373.19","116,147.88","114,530.99","","-0.16%"
"07/26/2024","115,259.05","114,277.95","115,572.49","113,883.49","","0.96%"
"07/25/2024","114,164.32","115,910.42","116,080.06","113,753.22","","-1.36%"
"07/24/2024","115,734.27","116,529.53","117,614.06","115,846.59","","-0.53%"
"07/23/2024","116,348.97","116,023.95","116,664.95","115,641.48","","0.40%"
"07/22/2024","115,888.94","116,083.85","116,731.26","115,409.20","","0.15%"
"07/19/2024","115,718.08","117,988.72","118,033.77","115,503.03","","-1.82%"
"07/18/2024","117,859.60","118,513.01","119,574.16","117,749.55","","-0.40%"
"07/17/2024","118,334.68","118,609.86","119,718.34","118,167.13","","-0.12%"
"07/16/2024","118,473.87","116,155.78","118,648.96","116,039.77","","2.12%"
"07/15/2024","116,019.55","115,606.85","116,985.54","115,014.07","","0.35%"
"07/12/2024","115,615.20","115,933.95","116,081.77","114,793.21","","-0.16%"
"07/11/2024","115,797.81","113,817.37","116,381.77","113,772.25","","1.85%"
"07/10/2024","113,689.93","113,642.55","114,650.45","113,576.21","","0.16%"
"07/09/2024","113,512.08","113,139.02","113,998.98","112,931.97","","0.51%"
"07/08/2024","112,934.56","114,685.40","114,689.05","112,691.11","","-1.49%"
"07/05/2024","114,647.07","113,082.20","114,842.00","112,970.16","","1.50%"
"07/04/2024","112,952.39","113,428.20","113,737.26","112,758.46","","-0.30%"
"07/03/2024","113,289.46","112,195.44","113,855.46","112,064.72","","1.09%"
"07/02/2024","112,062.62","112,630.11","112,757.17","111,734.40","","-0.38%"
"07/01/2024","112,493.91","111,739.90","112,855.38","111,323.99","","0.77%"
"06/28/2024","111,631.10","111,814.10","112,380.36","111,388.54","","-0.04%"
"06/27/2024","111,680.17","110,420.16","111,996.88","110,300.90","","1.32%"
"06/26/2024","110,230.16","112,229.99","113,171.34","110,212.05","","-1.65%"
"06/25/2024","112,084.04","112,803.92","113,160.20","111,888.98","","-0.47%"
"06/24/2024","112,608.12","111,785.34","113,302.89","111,581.39","","1.77%"
"06/21/2024","110,650.79","112,600.13","113,017.85","110,532.55","","-1.62%"
"06/20/2024","112,476.65","111,035.49","112,859.20","111,035.49","","1.45%"
"06/19/2024","110,871.93","111,136.16","111,407.65","110,870.66","","-0.12%"
"06/18/2024","110,999.66","110,644.09","111,319.13","110,049.09","","0.49%"
"06/17/2024","110,462.06","111,269.34","111,330.44","110,211.30","","-0.63%"
"06/14/2024","111,167.90","109,902.38","111,492.09","109,797.66","","1.26%"
"06/13/2024","109,782.90","110,836.01","110,992.09","109,458.03","","-0.79%"
"06/12/2024","110,661.05","110,211.81","111,722.52","109,902.50","","0.54%"
"06/11/2024","110,071.17","110,236.41","110,466.94","109,570.16","","0.00%"
"06/10/2024","110,067.20","109,398.94","110,371.38","108,792.09","","1.11%"
"06/07/2024","108,860.24","112,889.33","113,446.92","108,690.26","","-3.46%"
"06/06/2024","112,758.79","112,078.90","113,075.17","111,859.66","","0.75%"
"06/05/2024","111,919.60","110,412.40","112,244.38","110,320.55","","1.52%"
"06/04/2024","110,244.98","110,724.74","111,092.08","109,752.22","","-0.28%"
"06/03/2024","110,549.37","110,053.12","110,912.27","109,446.13","","0.61%"
"05/31/2024","109,876.22","110,718.38","111,496.59","109,691.95","","-0.72%"
"05/30/2024","110,675.50","110,567.07","111,335.88","109,822.84","","0.21%"
"05/29/2024","110,446.88","112,288.41","112,472.40","110,433.45","","-1.64%"
"05/28/2024","112,284.57","110,957.54","112,445.26","110,317.87","","1.37%"
"05/27/2024","110,766.87","109,604.85","111,408.31","109,504.16","","0.78%"
"05/24/2024","109,914.44","109,812.52","110,686.52","109,642.38","","0.21%"
"05/23/2024","109,688.36","111,301.03","111,833.27","109,717.83","","-1.32%"
"05/22/2024","111,158.47","113,180.30","113,396.90","111,125.16","","-1.64%"
"05/21/2024","113,009.48","113,159.84","113,545.88","112,217.16","","-0.02%"
"05/20/2024","113,029.20","113,143.72","115,005.21","112,278.35","","-0.12%"
"05/17/2024","113,161.75","111,483.16","113,656.75","111,362.23","","1.64%"
"05/16/2024","111,340.30","111,738.03","113,749.70","111,141.23","","-0.24%"
"05/15/2024","111,604.45","110,472.59","111,940.56","110,182.78","","1.17%"
"05/14/2024","110,310.15","109,966.27","110,645.74","109,498.77","","0.43%"
"05/13/2024","109,837.31","111,605.64","111,814.38","109,736.84","","-1.71%"
"05/10/2024","111,752.71","111,224.34","112,738.45","111,165.11","","0.59%"
"05/09/2024","111,095.88","109,766.73","111,276.02","109,136.34","","1.35%"
"05/08/2024","109,620.50","110,429.58","111,006.97","109,635.13","","-0.63%"
"05/07/2024","110,314.10","111,433.91","111,726.23","110,142.00","","-0.89%"
"05/06/2024","111,301.43","110,404.90","111,818.93","109,891.53","","0.92%"
"05/03/2024","110,291.11","110,466.07","111,322.68","109,204.46","","-0.01%"
"05/02/2024","110,299.33","111,049.07","111,396.21","109,479.29","","-0.56%"
"05/01/2024","110,924.47","109,393.18","111,483.56","109,094.08","","1.53%"
"04/30/2024","109,257.89","111,770.38","111,803.70","109,340.61","","-2.12%"
"04/29/2024","111,627.82","111,646.46","112,467.47","110,748.10","","-0.19%"
"04/26/2024","111,844.11","111,709.98","112,690.51","111,429.82","","0.25%"
"04/25/2024","111,566.58","110,936.81","112,318.95","110,423.13","","0.69%"
"04/24/2024","110,800.79","111,579.09","112,143.53","110,634.60","","-0.58%"
"04/23/2024","111,445.91","112,100.77","112,452.02","110,157.65","","-0.46%"
"04/22/2024","111,955.51","115,517.02","115,542.29","112,009.47","","-3.03%"
"04/19/2024","115,456.31","114,980.76","116,852.05","114,684.98","","0.53%"
"04/18/2024","114,849.55","114,374.04","115,709.09","114,374.04","","0.48%"
"04/17/2024","114,302.76","115,568.08","116,944.59","114,210.01","","-0.97%"
"04/16/2024","115,426.80","114,982.59","116,319.74","114,079.91","","0.54%"
"04/15/2024","114,811.92","111,520.89","115,201.47","111,514.56","","3.09%"
"04/12/2024","111,371.82","112,780.77","115,692.38","111,046.73","","-1.15%"
"04/11/2024","112,669.53","110,951.17","113,064.27","110,593.95","","1.66%"
"04/10/2024","110,825.23","111,882.44","112,225.11","110,294.38","","-0.83%"
"04/09/2024","111,748.03","111,219.28","112,472.17","111,121.50","","0.59%"
"04/08/2024","111,089.94","110,410.91","111,937.23","109,500.89","","0.76%"
"04/05/2024","110,250.97","108,456.38","110,411.52","107,382.79","","1.78%"
"04/04/2024","108,320.31","108,883.95","109,162.03","107,957.37","","-0.39%"
"04/03/2024","108,740.89","107,532.05","108,962.82","106,865.23","","1.24%"
"04/02/2024","107,410.33","106,163.67","107,579.94","105,935.98","","1.28%"
"04/01/2024","106,049.89","105,837.42","107,096.02","105,075.91","","0.33%"
"03/29/2024","105,702.99","105,702.99","105,702.99","105,702.99","","-0.05%"
"03/28/2024","105,760.49","103,702.27","105,981.47","103,263.66","","2.12%"
"03/27/2024","103,568.51","104,194.83","104,448.48","103,069.80","","-0.48%"
"03/26/2024","104,063.88","102,952.66","105,158.09","102,751.13","","1.21%"
"03/25/2024","102,821.95","100,904.45","103,393.55","100,651.23","","1.70%"
"03/22/2024","101,105.03","101,756.42","101,988.34","100,846.54","","-0.51%"
"03/21/2024","101,628.36","102,533.85","104,253.80","101,067.00","","-0.76%"
"03/20/2024","102,404.26","101,512.34","102,659.19","100,914.60","","1.01%"
"03/19/2024","101,384.51","101,765.58","101,989.66","101,068.13","","-0.26%"
"03/18/2024","101,646.74","101,849.26","102,090.59","101,319.20","","-1.24%"
"03/15/2024","102,927.16","103,373.54","103,881.15","103,018.27","","-0.29%"
"03/14/2024","103,228.10","105,350.18","105,480.27","102,906.59","","-1.86%"
"03/13/2024","105,185.06","105,328.96","105,928.17","104,392.53","","-0.02%"
"03/12/2024","105,208.84","107,065.05","107,167.18","104,949.05","","-1.62%"
"03/11/2024","106,938.59","107,041.10","107,700.58","106,600.70","","-0.49%"
"03/08/2024","107,460.12","106,599.23","108,443.06","106,303.97","","0.94%"
"03/07/2024","106,457.93","106,451.01","107,154.41","106,006.53","","0.13%"
"03/06/2024","106,322.39","65,765.92","108,384.12","65,474.34","","62.00%"
"03/05/2024","65,629.98","65,334.86","66,192.31","65,196.38","","0.64%"
"03/04/2024","65,210.42","64,426.22","65,506.34","64,115.76","","1.46%"
"03/01/2024","64,272.58","63,164.02","64,531.41","62,991.23","","1.94%"
"02/29/2024","63,050.27","62,946.04","63,369.57","62,657.50","","0.22%"
"02/28/2024","62,914.09","62,737.46","63,029.29","62,422.22","","0.46%"
"02/27/2024","62,626.78","62,835.13","63,137.75","62,629.97","","-0.30%"
"02/26/2024","62,812.33","62,967.52","63,041.80","62,579.21","","0.02%"
"02/23/2024","62,801.89","62,556.09","63,080.29","62,280.54","","0.58%"
"02/22/2024","62,440.92","62,605.73","62,947.93","62,408.75","","-0.09%"
"02/21/2024","62,495.03","62,630.46","62,876.75","62,424.04","","-0.17%"
"02/20/2024","62,602.79","62,356.11","62,856.66","62,243.58","","0.64%"
"02/19/2024","62,204.00","62,206.50","62,599.21","62,074.36","","0.16%"
"02/16/2024","62,104.16","61,951.01","62,271.38","61,660.50","","0.48%"
"02/15/2024","61,809.33","61,543.75","62,062.52","61,364.70","","0.58%"
"02/14/2024","61,449.86","61,646.94","61,720.23","61,303.71","","-0.05%"
"02/13/2024","61,480.17","62,421.11","62,809.68","61,496.82","","-1.33%"
"02/12/2024","62,308.46","62,557.84","62,724.57","62,168.03","","-0.22%"
"02/09/2024","62,445.24","62,861.79","62,957.07","62,427.32","","-0.48%"
"02/08/2024","62,748.14","62,885.43","63,065.01","62,410.31","","-0.04%"
"02/07/2024","62,774.73","62,915.51","63,179.85","62,682.79","","-0.04%"
"02/06/2024","62,802.29","62,572.71","63,005.73","62,421.45","","0.54%"
"02/05/2024","62,464.77","63,033.13","63,107.83","62,245.00","","-0.68%"
"02/02/2024","62,890.50","63,523.05","63,598.27","62,648.24","","-0.77%"
"02/01/2024","63,377.93","63,045.60","63,821.48","62,713.14","","0.72%"
"01/31/2024","62,926.11","63,023.23","63,532.83","62,628.46","","-0.10%"
"01/30/2024","62,991.11","62,810.06","63,326.69","62,655.11","","0.47%"
"01/29/2024","62,697.94","62,470.00","63,027.95","62,399.61","","0.69%"
"01/26/2024","62,265.79","62,445.10","62,627.98","62,293.47","","-0.06%"
"01/25/2024","62,305.05","62,238.00","62,580.72","62,113.50","","0.30%"
"01/24/2024","62,121.49","62,684.91","62,970.61","62,148.59","","-0.75%"
"01/23/2024","62,590.90","62,470.59","63,017.82","62,405.34","","0.38%"
"01/22/2024","62,353.71","62,723.81","62,851.11","62,202.46","","-0.40%"
"01/19/2024","62,604.46","62,514.75","63,020.42","62,429.30","","0.32%"
"01/18/2024","62,401.87","62,022.86","62,536.84","61,964.15","","0.84%"
"01/17/2024","61,880.11","62,677.73","62,821.10","61,859.03","","-1.09%"
"01/16/2024","62,560.62","63,578.92","63,601.70","62,550.57","","-1.55%"
"01/15/2024","63,545.38","63,286.18","63,691.75","63,215.09","","0.54%"
"01/12/2024","63,202.99","62,719.30","63,726.52","62,674.08","","0.95%"
"01/11/2024","62,606.12","62,549.66","63,052.64","62,211.57","","0.27%"
"01/10/2024","62,437.03","62,732.92","63,089.77","62,350.61","","-0.29%"
"01/09/2024","62,619.10","62,681.64","63,100.76","62,577.91","","0.11%"
"01/08/2024","62,551.15","62,957.88","63,038.79","62,320.52","","-0.55%"
"01/05/2024","62,898.99","62,929.23","63,572.04","62,728.86","","0.13%"
"01/04/2024","62,815.79","63,130.61","63,458.07","62,859.41","","-0.40%"
"01/03/2024","63,066.59","63,673.22","63,924.61","62,759.84","","-0.85%"
"01/02/2024","63,604.25","63,743.77","64,290.63","63,531.80","","-0.04%"
"01/01/2024","63,630.90","63,630.90","63,630.90","63,630.90","","-0.16%"
"12/29/2023","63,734.03","63,878.00","64,173.88","63,635.94","","-0.13%"
"12/28/2023","63,814.37","64,018.79","64,598.59","63,849.16","","-0.11%"
"12/27/2023","63,881.51","63,901.41","64,441.66","63,663.28","","0.19%"
"12/26/2023","63,760.62","63,624.59","63,978.04","63,450.17","","0.35%"
"12/25/2023","63,539.37","63,446.82","63,549.37","63,241.50","","0.32%"
"12/22/2023","63,334.28","63,219.41","63,982.95","63,216.66","","0.36%"
"12/21/2023","63,105.44","62,803.85","63,225.20","62,680.02","","0.76%"
"12/20/2023","62,631.36","63,096.52","63,230.59","62,650.16","","-0.64%"
"12/19/2023","63,033.73","62,622.77","63,305.77","62,330.00","","0.88%"
"12/18/2023","62,482.66","62,491.66","62,841.63","62,287.47","","0.19%"
"12/15/2023","62,362.07","62,930.70","63,258.50","62,335.02","","-0.87%"
"12/14/2023","62,912.18","62,656.41","63,298.41","62,551.75","","0.59%"
"12/13/2023","62,543.97","61,217.13","62,657.55","60,884.95","","2.26%"
"12/12/2023","61,159.13","61,290.14","61,701.00","61,127.89","","-0.11%"
"12/11/2023","61,229.19","61,911.27","62,069.46","61,106.26","","-0.93%"
"12/08/2023","61,804.58","62,700.70","62,856.36","61,637.63","","-1.23%"
"12/07/2023","62,571.82","62,688.20","63,038.12","62,426.05","","-0.17%"
"12/06/2023","62,676.49","62,193.73","63,023.23","62,131.80","","0.95%"
"12/05/2023","62,083.72","62,762.02","63,128.05","61,908.47","","-0.97%"
"12/04/2023","62,689.61","64,001.65","65,257.58","62,428.68","","-1.87%"
"12/01/2023","63,887.30","62,928.75","64,128.18","62,842.89","","1.70%"
"11/30/2023","62,819.97","63,269.59","63,372.96","62,784.02","","-0.69%"
"11/29/2023","63,255.10","63,114.95","63,475.10","62,907.75","","0.33%"
"11/28/2023","63,048.09","62,243.27","63,179.69","62,074.18","","1.43%"
"11/27/2023","62,161.81","61,885.77","62,415.96","61,820.66","","0.65%"
"11/24/2023","61,760.77","61,616.62","61,913.77","61,534.28","","0.51%"
"11/23/2023","61,446.72","61,475.92","61,844.04","61,460.50","","0.10%"
"11/22/2023","61,387.57","61,752.82","62,046.76","61,394.91","","-0.40%"
"11/21/2023","61,631.82","61,185.49","62,032.23","61,180.16","","0.80%"
"11/20/2023","61,145.01","61,194.08","61,380.34","60,736.89","","-0.06%"
"11/17/2023","61,182.24","61,288.51","61,662.77","61,188.05","","-0.05%"
"11/16/2023","61,211.04","60,597.23","61,479.98","60,478.59","","1.11%"
"11/15/2023","60,537.27","60,718.41","61,104.33","60,422.02","","-0.03%"
"11/14/2023","60,552.99","60,148.83","60,899.13","59,919.89","","0.87%"
"11/13/2023","60,028.42","59,854.87","60,232.42","59,688.30","","0.47%"
"11/10/2023","59,749.97","60,539.55","60,592.63","59,735.12","","-1.09%"
"11/09/2023","60,410.39","60,260.12","60,739.99","60,001.52","","0.43%"
"11/08/2023","60,150.40","60,653.26","60,960.41","60,177.11","","-0.64%"
"11/07/2023","60,540.29","61,114.38","61,158.73","60,393.64","","-0.76%"
"11/06/2023","61,002.48","61,561.95","61,592.83","61,099.80","","-0.75%"
"11/03/2023","61,462.00","61,383.95","61,925.34","61,282.81","","0.35%"
"11/02/2023","61,249.28","61,274.21","61,635.13","61,114.94","","0.17%"
"11/01/2023","61,144.39","61,354.20","61,555.70","60,870.05","","-0.23%"
"10/31/2023","61,283.67","61,676.98","62,040.88","61,197.34","","-0.46%"
"10/30/2023","61,564.97","61,948.20","62,027.77","61,506.48","","-0.52%"
"10/27/2023","61,884.79","61,329.14","62,093.00","61,069.25","","1.10%"
"10/26/2023","61,212.26","61,176.38","61,653.50","60,922.47","","0.24%"
"10/25/2023","61,064.18","60,952.68","61,404.34","60,667.38","","0.28%"
"10/24/2023","60,893.71","60,922.00","61,265.23","60,363.18","","0.07%"
"10/23/2023","60,851.24","61,225.90","61,372.05","60,698.67","","-0.41%"
"10/20/2023","61,101.20","61,011.44","61,715.71","60,932.50","","0.34%"
"10/19/2023","60,891.42","60,238.07","61,115.95","59,995.82","","1.28%"
"10/18/2023","60,124.03","59,420.59","60,648.60","59,409.54","","1.37%"
"10/17/2023","59,310.86","59,365.43","59,690.36","58,997.45","","0.00%"
"10/16/2023","59,309.15","59,744.10","59,792.98","58,972.64","","-0.51%"
"10/13/2023","59,614.23","57,699.23","59,753.33","57,687.71","","3.41%"
"10/12/2023","57,646.89","57,949.37","58,314.20","57,718.21","","-0.45%"
