Date,Gold_21_Price_EGP,Gold_21_Local_Sell_EGP,Diff_%
2023-03-28,1712.382890992975,2060.0,16.87461694208859
2023-03-29,1698.7524313983956,2080.0,18.32921002892329
2023-03-30,1718.5966611474591,2120.0,18.934119757195322
2023-03-31,1703.0259456331282,2180.0,21.87954377829687
2023-04-03,1722.1885398749337,2130.0,19.14607794014396
2023-04-04,1753.1673686241097,2120.0,17.303426008296714
2023-04-05,1754.7694793190478,2185.0,19.69018401285822
2023-04-06,1742.5326731718296,2170.0,19.698955153371905
2023-04-07,1742.6944314948478,2145.0,18.755504359214555
2023-04-10,1729.575409519829,2155.0,19.74128030070399
2023-04-11,1734.7387351905736,2165.0,19.87349952930376
2023-04-12,1748.555427845741,2200.0,20.520207825193594
2023-04-13,1770.5213641551593,2250.0,21.31016159310403
2023-04-14,1738.9396691690645,2270.0,23.39472823043769
2023-04-17,1729.5230842188178,2320.0,25.45159119746475
2023-04-18,1740.3890237433086,2285.0,23.83417839197774
2023-04-19,1730.547366052052,2350.0,26.359686550976512
2023-04-20,1737.8112993714535,2415.0,28.040939984618902
2023-04-21,1720.8953172472552,2430.0,29.181262664722006
2023-04-24,1726.737465237031,2460.0,29.807420112315807
2023-04-25,1731.7795424952176,2480.0,30.170179738096063
2023-04-26,1732.9731782596814,2510.0,30.957243894036594
2023-04-27,1724.949402800328,2600.0,33.65579219998738
2023-04-28,1726.5377288729564,2700.0,36.0541581898905
2023-05-01,1721.0702975549375,2620.0,34.31029398645277
2023-05-02,1751.202919285611,2625.0,33.28750783673863
2023-05-03,1773.451018374138,2620.0,32.311029833048174
2023-05-04,1785.1443165560145,2620.0,31.864720742136853
2023-05-05,1745.6299934091019,2620.0,33.372901014919776
2023-05-08,1755.4291719581397,2580.0,31.960109614025594
2023-05-09,1765.5136077933353,2535.0,30.35449278921754
2023-05-10,1761.7602520616651,2530.0,30.365207428392683
2023-05-11,1748.711841111129,2515.0,30.468714071128073
2023-05-12,1744.901940296108,2460.0,29.069026817231382
2023-05-15,1749.762004276046,2270.0,22.917973379909874
2023-05-16,1725.975935184143,2260.0,23.629383398931722
2023-05-17,1719.586059446686,2190.0,21.480088609740363
2023-05-18,1698.3020399633483,2180.0,22.096236698928976
2023-05-19,1716.114585175302,2200.0,21.99479158294082
2023-05-22,1711.0379057019304,2475.0,30.86715532517453
2023-05-23,1708.1296317134727,2415.0,29.269994546025973
2023-05-24,1698.1681322037714,2395.0,29.0952763171703
2023-05-25,1684.524169305705,2340.0,28.011787636508327
2023-05-26,1689.1006639124216,2350.0,28.12337600372674
2023-05-29,1686.1296558265146,2300.0,26.69001496406458
2023-05-30,1700.1832189303454,2300.0,26.078990481289328
2023-05-31,1702.32940022827,2320.0,26.623732748781464
2023-06-01,1716.045662063755,2310.0,25.71230900156905
2023-06-02,1690.2521018534892,2360.0,28.37914822654707
2023-06-05,1696.7536611635346,2320.0,26.864066329157993
2023-06-06,1703.6172777983184,2340.0,27.195842829131696
2023-06-07,1688.6730593020077,2340.0,27.834484645213347
2023-06-08,1713.288456283055,2325.0,26.310173923309467
2023-06-09,1707.0473982027745,2335.0,26.893045044849057
2023-06-12,1698.694198402109,2310.0,26.46345461462732
2023-06-13,1686.4334801549667,2290.0,26.35661658711936
2023-06-14,1685.4969697943961,2275.0,25.91222110793863
2023-06-15,1698.7572138183807,2255.0,24.667085861712607
2023-06-16,1698.410066391242,2275.0,25.344612466319035
2023-06-19,1692.4477952641985,2190.0,22.71927875505943
2023-06-20,1680.1848264664748,2150.0,21.851868536443035
2023-06-21,1677.0604996222291,2130.0,21.26476527595168
2023-06-22,1660.9696256048355,2145.0,22.565518619821187
2023-06-23,1666.6460768080763,2200.0,24.243360145087443
2023-06-26,1667.6008728921183,2225.0,25.051646162151986
2023-06-27,1660.2328516083398,2240.0,25.882461981770543
2023-06-29,1655.6242866558425,2280.0,27.384899708077082
2023-06-30,1665.9517819537994,2255.0,26.12187219717076
2023-07-03,1667.4585255678621,2210.0,24.549387983354656
2023-07-04,1670.7251997363642,2215.0,24.572225745536606
2023-07-05,1661.8014853633836,2210.0,24.80536265324056
2023-07-06,1658.1409648431847,2170.0,23.58797397036015
2023-07-07,1670.9283119263105,2165.0,22.820863190470646
2023-07-10,1670.6059205555644,2155.0,22.477683500901886
2023-07-11,1679.1982413554745,2160.0,22.259340677987293
2023-07-12,1700.8578214670376,2170.0,21.61945523193375
2023-07-13,1701.1433600720177,2180.0,21.96590091412763
2023-07-14,1696.6183468098445,2185.0,22.351563075064323
2023-07-17,1697.3714372980533,2165.0,21.599471718334723
2023-07-18,1716.707605253428,2155.0,20.33839418777596
2023-07-19,1709.4754609609852,2155.0,20.673992530812754
2023-07-20,1703.8459900011253,2150.0,20.75134930227324
2023-07-21,1696.4430851833395,2150.0,21.09567045658886
2023-07-24,1695.3262494574565,2155.0,21.330568470651674
2023-07-25,1704.9617004517177,2150.0,20.699455792943365
2023-07-26,1711.1954442426095,2145.0,20.22398861339816
2023-07-27,1687.648496149951,2158.0,21.79571380213388
2023-07-28,1700.3292233992959,2145.0,20.73057233569716
2023-07-31,1705.0058675068722,2144.0,20.47547259762723
2023-08-01,1686.8948430240969,2150.0,21.539774743065262
2023-08-02,1678.449651968428,2145.0,21.750598975830858
2023-08-03,1682.864950889771,2145.0,21.544757534276407
2023-08-04,1691.2839792949349,2148.0,21.2623845765859
2023-08-07,1679.7082723809217,2145.0,21.691922033523465
2023-08-08,1670.6382722201683,2145.0,22.114765863861617
2023-08-09,1660.9921311106468,2150.0,22.744552041365264
2023-08-10,1659.4429083543653,2154.0,22.959939259314517
2023-08-11,1660.5088253733502,2175.0,23.65476664950114
2023-08-14,1654.8067741572493,2270.0,27.101023164878885
2023-08-15,1650.258411432797,2235.0,26.162934611507964
2023-08-16,1641.3982751137332,2230.0,26.39469618324066
2023-08-17,1638.0306074879031,2230.0,26.545712668703896
2023-08-18,1639.2214300641406,2255.0,27.307253655692215
2023-08-21,1643.6786454900573,2220.0,25.96042137432174
2023-08-22,1646.3179786840708,2240.0,26.503661665889695
2023-08-23,1660.7161573456362,2265.0,26.679198351186038
2023-08-24,1663.1281849309564,2260.0,26.410257303939982
2023-08-25,1661.6281929686372,2260.0,26.476628629706315
2023-08-28,1665.5312103139518,2215.0,24.806717367315947
2023-08-29,1686.6706319224522,2190.0,22.983076167924555
2023-08-30,1685.3501213689779,2195.0,23.21867328615135
2023-08-31,1683.3569775105698,2190.0,23.134384588558458
2023-09-01,1682.9620058835822,2195.0,23.327471258151157
2023-09-04,1682.0952625910265,2205.0,23.714500562765238
2023-09-05,1673.9716189496357,2195.0,23.737056084299056
2023-09-06,1663.0010288231229,2170.0,23.364007888335355
2023-09-07,1665.3531354992203,2200.0,24.302130204580894
2023-09-08,1665.2136013631905,2205.0,24.480108781714716
2023-09-11,1670.434034754931,2190.0,23.7244732988616
2023-09-12,1660.4460912759014,2185.0,24.007043877533118
2023-09-13,1653.8784220425355,2190.0,24.480437349655915
2023-09-14,1663.3363608597103,2180.0,23.70016693304081
2023-09-15,1674.8248589387047,2180.0,23.173171608316302
2023-09-18,1678.0046055910107,2165.0,22.494013598567637
2023-09-19,1675.5765428328002,2195.0,23.663938823107053
2023-09-20,1674.7345555966372,2195.0,23.70229815049489
2023-09-21,1665.1747793656664,2215.0,24.82280905798346
2023-09-22,1670.636021669587,2200.0,24.06199901501877
2023-09-25,1664.319570144839,2204.0,24.4864078881652
2023-09-26,1651.7879418714936,2195.0,24.74770196485223
2023-09-27,1626.9674634687415,2200.0,26.046933478693568
2023-09-28,1618.0544392110212,2190.0,26.116235652464788
2023-09-29,1604.0931486810166,2185.0,26.586125918488946
2023-10-02,1588.7162618354848,2140.0,25.760922344136223
2023-10-03,1584.3696047068659,2135.0,25.79065083340207
2023-10-04,1575.3561496294628,2150.0,26.727620947466846
2023-10-05,1574.3431205491343,2145.0,26.604050324049684
2023-10-06,1585.041675374154,2145.0,26.10528319934014
2023-10-09,1614.921110164451,2190.0,26.259310038152922
2023-10-10,1614.2397559760154,2225.0,27.449898607819534
2023-10-11,1629.050348031572,2270.0,28.23566748759595
2023-10-12,1621.7155223688653,2350.0,30.990828835367434
2023-10-13,1677.0604996222291,2305.0,27.2424945933957
2023-10-16,1668.4780249811115,2310.0,27.771514070081754
2023-10-17,1668.526130499783,2315.0,27.925437127439178
2023-10-18,1691.4021332004436,2350.0,28.025441140406652
2023-10-19,1712.9902583310559,2350.0,27.10679751782741
2023-10-20,1718.8917645924091,2405.0,28.528408956656587
2023-10-23,1711.8599193016862,2450.0,30.12816655911485
2023-10-24,1713.0546803414404,2470.0,30.645559500346543
2023-10-25,1717.8503223109938,2520.0,31.831336416230403
2023-10-26,1722.0160914366552,2520.0,31.666028117593047
2023-10-27,1740.9356262156991,2515.0,30.777907506334028
2023-10-30,1731.9384876300096,2560.0,32.34615282695275
2023-10-31,1724.0249891491312,2555.0,32.523483790640654
2023-11-01,1720.1067805873936,2550.0,32.5448321338277
2023-11-02,1723.0575337180703,2530.0,31.894959141578248
2023-11-03,1729.0417477132798,2530.0,31.65842894413914
2023-11-06,1716.114585175302,2560.0,32.96427401658977
2023-11-07,1703.1123105116787,2590.0,34.24276793391201
2023-11-08,1692.143970935747,2605.0,35.04245792952987
2023-11-09,1699.4579790055782,2565.0,33.744328303876095
2023-11-10,1680.8791213207517,2580.0,34.849646460435984
2023-11-13,1688.7124439371773,2595.0,34.92437595617814
2023-11-14,1703.4695854164322,2620.0,34.98207689250259
2023-11-15,1703.0273522272412,2660.0,35.97641532980296
2023-11-16,1721.981770540293,2670.0,35.50630072882798
2023-11-17,1721.171572331088,2680.0,35.7771801368997
2023-11-20,1720.1242223543975,2715.0,36.643675051403406
2023-11-21,1733.8191039593614,2750.0,36.952032583295946
2023-11-22,1726.9478917163663,2785.0,37.99109904070498
2023-11-23,1728.611892552285,2710.0,36.21358330065368
2023-11-24,1737.4467101773112,2725.0,36.240487699915185
2023-11-27,1748.7287202404873,2790.0,37.32155124586067
2023-11-28,1773.661444853473,2790.0,36.42790520238447
2023-11-29,1779.4850258009546,2790.0,36.219174702474746
2023-11-30,1767.2439998713971,2805.0,36.9966488459395
2023-12-01,1797.2700017682896,2750.0,34.644727208425834
2023-12-04,1763.576727699455,2770.0,36.33297011915325
2023-12-05,1746.5319015544874,2780.0,37.17511145487455
2023-12-06,1763.2076374041505,2775.0,36.46098603949007
2023-12-07,1760.263073287572,2760.0,36.22235241711695
2023-12-08,1738.6791679392995,2760.0,37.004377973213785
2023-12-11,1722.4923642033855,2780.0,38.03984301426671
2023-12-12,1720.5214445319657,2780.0,38.11073940532497
2023-12-13,1759.4796003665183,2790.0,36.936215040626585
2023-12-14,1769.8380407349655,2830.0,37.46155333091995
2023-12-15,1754.362410982687,2860.0,38.658656958647306
2023-12-18,1757.7548346649091,2870.0,38.75418694547355
2023-12-19,1773.2574710241613,2880.0,38.42856003388329
2023-12-20,1761.938045557574,2930.0,39.86559571475857
2023-12-21,1775.2748083013166,2980.0,40.42701985566052
2023-12-22,1781.7125082386226,2960.0,39.80700985680329
2023-12-25,1787.4820759721574,3050.0,41.39403029599484
2023-12-26,1793.7062549230793,3160.0,43.237143831548124
2023-12-27,1797.1071181699808,3270.0,45.04259577461832
2023-12-28,1795.2183435947723,3150.0,43.008941473181835
2023-12-29,1792.9582281736782,3070.0,41.59745185102025
2024-01-01,1790.0569871557864,3140.0,42.9918156956756
2024-01-02,1789.3072724934493,3165.0,43.46580497651029
2024-01-03,1774.1818846753579,3160.0,43.85500364951399
2024-01-04,1767.1264086035335,3135.0,43.63233146400212
2024-01-05,1769.4669812079026,3160.0,44.004209455446116
2024-01-08,1759.6815872811742,3260.0,46.02203719996398
